Tipo Titulo,Vencimento do Titulo,Data Venda,PU,Quantidade,Valor
Tesouro Selic,07/03/2017,16/05/2012,"5222,129522","100,6","525346,22"
Tesouro Selic,07/03/2017,28/09/2012,"5356,3",85,"455285,5"
Tesouro Selic,07/03/2017,01/10/2012,"5357,819284","108,79","582877,15"
Tesouro Selic,07/03/2017,17/05/2012,"5223,876519","36,2","189104,32"
Tesouro Selic,07/03/2017,18/05/2012,"5225,619343","164,4","859091,81"
Tesouro Selic,07/03/2017,15/08/2012,"5313,249138","63,86","339304,08"
Tesouro Selic,07/03/2017,02/10/2012,"5359,328715","76,51","410042,23"
Tesouro Selic,07/03/2017,21/05/2012,"5227,369329","101,4","530055,24"
Tesouro Selic,07/03/2017,22/05/2012,"5229,11872","42,2","220668,8"
Tesouro Selic,07/03/2017,23/05/2012,"5230,858969","52,4",274097
Tesouro Selic,07/03/2017,15/06/2012,"5258,059489","131,62","692065,78"
Tesouro Selic,07/03/2017,16/08/2012,"5312,437822","69,8","370808,15"
Tesouro Selic,07/03/2017,17/08/2012,"5314,029148","350,27","1861344,98"
Tesouro Selic,07/03/2017,20/08/2012,"5315,629591","624,58","3320035,92"
Tesouro Selic,07/03/2017,24/05/2012,"5232,618721","43,8","229188,69"
Tesouro Selic,07/03/2017,25/05/2012,"5234,359325",89,"465857,97"
Tesouro Selic,07/03/2017,28/05/2012,"5236,119427","66,4","347678,32"
Tesouro Selic,07/03/2017,18/06/2012,"5259,718707","72,7","382381,54"
Tesouro Selic,07/03/2017,19/06/2012,"5261,388362","73,9","388816,59"
Tesouro Selic,07/03/2017,20/06/2012,"5263,049739","67,15","353413,78"
Tesouro Selic,07/03/2017,21/06/2012,"5264,718232","71,3","375374,4"
Tesouro Selic,07/03/2017,21/08/2012,"5317,219243","223,45","1188132,63"
Tesouro Selic,07/03/2017,22/08/2012,"5318,828103","72,02","383061,99"
Tesouro Selic,07/03/2017,23/08/2012,"5320,418498","74,6","396903,21"
Tesouro Selic,07/03/2017,24/08/2012,"5322,019235","170,52","907510,71"
Tesouro Selic,07/03/2017,28/04/2011,"4651,428985","27,6","128379,43"
Tesouro Selic,07/03/2015,28/04/2011,"4651,429407","408,4","1899643,76"
Tesouro Selic,07/03/2017,29/04/2011,"4653,509738","99,6","463489,56"
Tesouro Selic,07/03/2015,29/04/2011,"4653,509484",330,"1535658,12"
Tesouro Selic,07/03/2015,16/06/2011,"4724,919142","251,8","1189734,63"
Tesouro Selic,07/03/2017,17/06/2011,"4727,069117","61,2","289296,62"
Tesouro Selic,07/03/2015,17/06/2011,"4727,069386","433,8","2050602,69"
Tesouro Selic,07/03/2015,02/03/2011,"4576,738726","273,2","1250365,01"
Tesouro Selic,07/03/2017,02/03/2011,"4576,739298","165,4","756992,67"
Tesouro Selic,07/03/2017,03/03/2011,"4578,659327","199,4","912984,66"
Tesouro Selic,07/03/2015,03/03/2011,"4578,659575",824,"3772815,48"
Tesouro Selic,07/03/2015,11/02/2011,"4551,8","440,2","2003702,36"
Tesouro Selic,07/03/2017,11/02/2011,"4551,8","40,2","182982,36"
Tesouro Selic,07/03/2015,14/02/2011,"4553,71949","239,6","1091071,18"
Tesouro Selic,07/03/2017,14/02/2011,"4553,719158","85,6","389798,35"
Tesouro Selic,07/03/2015,15/02/2011,"4555,629393","283,4","1291065,36"
Tesouro Selic,07/03/2017,15/02/2011,"4555,629027","65,8","299760,38"
Tesouro Selic,07/03/2017,13/05/2011,"4674,35","37,6","175755,56"
Tesouro Selic,07/03/2015,13/05/2011,"4674,35","369,6","1727639,76"
Tesouro Selic,07/03/2015,16/05/2011,"4676,439047",210,"982052,19"
Tesouro Selic,07/03/2017,16/05/2011,"4676,438858","73,6","344185,89"
Tesouro Selic,07/03/2015,17/05/2011,"4678,528592","203,2",950677
Tesouro Selic,07/03/2017,17/05/2011,"4678,529738",153,"715815,04"
Tesouro Selic,07/03/2017,04/03/2011,"4580,579071","122,8","562495,1"
Tesouro Selic,07/03/2015,04/03/2011,"4580,579262","512,6","2348004,92"
Tesouro Selic,07/03/2015,09/03/2011,"4582,588956","425,6","1950349,85"
Tesouro Selic,07/03/2015,16/02/2011,"4557,539439",321,"1462970,15"
Tesouro Selic,07/03/2017,16/02/2011,"4557,539095","75,2","342726,93"
Tesouro Selic,07/03/2015,17/02/2011,"4559,45957","242,4","1105212,99"
Tesouro Selic,07/03/2017,17/02/2011,"4559,459493","47,4","216118,37"
Tesouro Selic,07/03/2015,02/05/2011,"4655,589229","241,4","1123859,23"
